image_name,tags
test_513,clear primary
test_514,partly_cloudy primary
test_515,partly_cloudy primary
test_516,clear primary
test_517,clear agriculture primary road
test_518,agriculture partly_cloudy primary
test_519,primary haze
test_520,cloudy
test_521,clear primary
test_522,clear agriculture primary road
test_523,partly_cloudy primary
test_524,primary haze
test_525,clear primary
test_526,clear agriculture primary road
test_527,clear primary
test_528,clear agriculture primary road
test_529,partly_cloudy primary
test_530,agriculture primary road
test_531,clear agriculture primary
test_532,clear primary
test_533,clear primary
test_534,clear primary
test_535,clear primary
test_536,primary
test_537,primary
test_538,clear primary
test_539,partly_cloudy primary
test_540,water clear primary
test_541,clear agriculture primary road
test_542,water clear primary
test_543,clear primary
test_544,clear agriculture habitation primary road
test_545,clear primary
test_546,water clear agriculture habitation primary
test_547,clear primary
test_548,partly_cloudy primary
test_549,primary
test_550,clear agriculture primary
test_551,agriculture partly_cloudy primary road
test_552,clear primary
test_553,agriculture primary
test_554,clear primary
test_555,clear primary
test_556,cloudy
test_557,clear primary
test_558,partly_cloudy primary
test_559,clear primary
test_560,clear primary
test_561,partly_cloudy primary
test_562,clear agriculture primary
test_563,clear primary
test_564,clear agriculture habitation primary road
test_565,partly_cloudy primary
test_566,clear primary
test_567,partly_cloudy primary
test_568,clear habitation primary road
test_569,water clear primary
test_570,clear primary
test_571,clear primary
test_572,agriculture partly_cloudy primary road
test_573,clear primary
test_574,clear primary
test_575,clear primary
test_576,clear primary
test_577,partly_cloudy primary
test_578,primary haze
test_579,clear primary
test_580,clear agriculture primary road
test_581,clear primary road
test_582,clear primary
test_583,clear agriculture primary
test_584,clear primary
test_585,water clear primary
test_586,clear primary
test_587,clear agriculture primary road
test_588,clear primary
test_589,partly_cloudy primary
test_590,clear primary
test_591,clear agriculture primary road
test_592,clear agriculture primary road
test_593,clear primary
test_594,clear agriculture primary
test_595,partly_cloudy primary
test_596,water artisinal_mine clear primary road
test_597,clear agriculture primary
test_598,partly_cloudy primary
test_599,clear primary
test_600,clear primary
test_601,primary haze
test_602,cloudy
test_603,clear primary
test_604,cloudy
test_605,partly_cloudy primary
test_606,clear agriculture primary road
test_607,partly_cloudy primary
test_608,clear agriculture habitation primary road
test_609,clear primary
test_610,clear primary
test_611,water clear primary
test_612,clear primary
test_613,partly_cloudy primary
test_614,clear primary
test_615,water clear primary
test_616,clear primary
test_617,clear primary
test_618,clear primary
test_619,agriculture partly_cloudy primary
test_620,clear agriculture primary
test_621,clear primary
test_622,clear agriculture primary
test_623,clear primary
test_624,clear primary
test_625,clear primary
test_626,clear primary
test_627,clear primary
test_628,clear primary
test_629,clear primary
test_630,clear agriculture habitation primary road
test_631,primary haze
test_632,cloudy
test_633,water clear primary
test_634,clear agriculture primary road
test_635,clear primary
test_636,clear primary
test_637,clear primary
test_638,clear primary
test_639,clear agriculture primary
test_640,clear primary
test_641,water primary
test_642,clear primary
test_643,clear cultivation agriculture primary
test_644,clear primary
test_645,partly_cloudy primary
test_646,partly_cloudy primary
test_647,clear agriculture primary
test_648,clear agriculture primary road
test_649,clear agriculture primary road
test_650,water clear primary
test_651,clear agriculture habitation primary road
test_652,clear primary
test_653,clear primary
test_654,cloudy
test_655,clear primary
test_656,clear primary
test_657,clear agriculture habitation primary road
test_658,clear primary
test_659,clear primary
test_660,clear primary
test_661,clear primary
test_662,partly_cloudy primary
test_663,clear primary
test_664,cloudy
test_665,clear primary
test_666,clear primary
test_667,clear primary
test_668,water clear primary
test_669,clear primary
test_670,partly_cloudy primary
test_671,clear agriculture primary
test_672,clear primary
test_673,clear primary
test_674,partly_cloudy primary
test_675,primary haze
test_676,clear agriculture primary
test_677,partly_cloudy primary
test_678,clear agriculture primary road
test_679,primary
test_680,clear cultivation primary
test_681,clear primary
test_682,clear primary
test_683,partly_cloudy primary
test_684,clear primary
test_685,clear agriculture primary
test_686,clear primary
test_687,cloudy
test_688,clear agriculture primary road
test_689,clear agriculture primary
test_690,clear primary
test_691,partly_cloudy primary
test_692,primary haze
test_693,water clear primary
test_694,clear agriculture primary
test_695,clear cultivation agriculture primary
test_696,clear agriculture primary
test_697,agriculture partly_cloudy primary
test_698,water clear primary
test_699,agriculture partly_cloudy primary road
test_700,cloudy
test_701,clear agriculture habitation primary road
test_702,cloudy
test_703,clear primary
test_704,clear primary
test_705,clear primary
test_706,clear primary
test_707,clear primary
test_708,clear primary
test_709,cloudy
test_710,clear primary
test_711,clear primary
test_712,partly_cloudy primary
test_713,clear primary
test_714,primary
test_715,partly_cloudy primary
test_716,clear primary
test_717,clear primary
test_718,clear agriculture primary
test_719,clear primary
test_720,water clear agriculture primary
test_721,clear primary
test_722,clear primary
test_723,clear agriculture primary road
test_724,clear agriculture primary road
test_725,clear habitation primary road
test_726,clear primary
test_727,water partly_cloudy primary
test_728,clear primary
test_729,clear cultivation agriculture primary
test_730,water clear cultivation primary
test_731,clear primary
test_732,clear primary
test_733,clear primary
test_734,clear primary
test_735,clear agriculture primary
test_736,agriculture partly_cloudy primary road
test_737,clear primary
test_738,clear agriculture primary road
test_739,clear cultivation primary
test_740,clear primary
test_741,agriculture partly_cloudy primary
test_742,clear primary
test_743,clear primary
test_744,clear agriculture habitation primary
test_745,clear primary
test_746,partly_cloudy primary
test_747,agriculture primary haze
test_748,clear primary
test_749,partly_cloudy primary
test_750,clear agriculture habitation primary road
test_751,clear primary
test_752,primary
test_753,clear primary
test_754,primary
test_755,primary haze
test_756,clear habitation primary road
test_757,clear primary
test_758,cloudy
test_759,partly_cloudy primary
test_760,clear primary
test_761,partly_cloudy primary
test_762,clear primary
test_763,clear agriculture primary
test_764,clear agriculture primary road
test_765,clear primary
test_766,clear primary
test_767,water clear primary road
test_768,clear primary
test_769,primary haze
test_770,clear cultivation primary
test_771,clear primary
test_772,partly_cloudy primary
test_773,agriculture partly_cloudy primary
test_774,clear agriculture primary
test_775,water primary
test_776,clear primary
test_777,water clear habitation primary
test_778,clear primary
test_779,clear primary
test_780,clear primary
test_781,clear agriculture habitation primary road
test_782,partly_cloudy primary
test_783,cloudy
test_784,clear agriculture primary
test_785,partly_cloudy primary
test_786,partly_cloudy primary
test_787,clear agriculture primary
test_788,cloudy
test_789,agriculture partly_cloudy primary
test_790,clear primary road
test_791,clear primary
test_792,clear primary
test_793,partly_cloudy primary
test_794,water clear primary
test_795,water artisinal_mine clear primary
test_796,clear primary
test_797,partly_cloudy primary
test_798,partly_cloudy primary
test_799,clear primary
test_800,clear primary
test_801,agriculture partly_cloudy primary
test_802,clear agriculture primary road
test_803,clear cultivation agriculture primary
test_804,primary haze
test_805,clear primary
test_806,clear primary
test_807,clear agriculture primary road
test_808,clear primary
test_809,clear primary
test_810,agriculture partly_cloudy primary
test_811,clear primary
test_812,water clear primary
test_813,clear primary
test_814,clear primary
test_815,clear primary
test_816,water partly_cloudy primary
test_817,cloudy
test_818,clear habitation primary road
test_819,cloudy water primary
test_820,clear primary
test_821,clear agriculture primary
test_822,clear primary
test_823,cloudy
test_824,clear primary
test_825,water primary haze
test_826,clear primary
test_827,clear primary
test_828,clear primary
test_829,clear primary
test_830,cloudy
test_831,clear primary
test_832,partly_cloudy primary
test_833,partly_cloudy primary
test_834,clear primary
test_835,clear primary
test_836,clear primary
test_837,water partly_cloudy primary
test_838,clear agriculture habitation primary road
test_839,clear primary
test_840,clear primary
test_841,clear primary
test_842,clear primary
test_843,cloudy
test_844,agriculture partly_cloudy primary
test_845,clear agriculture primary road
test_846,clear agriculture habitation primary road
test_847,clear primary
test_848,cloudy
test_849,cloudy
test_850,clear primary
test_851,clear primary
test_852,primary haze
test_853,primary
test_854,clear agriculture primary
test_855,clear primary
test_856,clear primary
test_857,partly_cloudy primary
test_858,agriculture primary
test_859,clear agriculture primary
test_860,clear primary
test_861,clear primary
test_862,partly_cloudy primary
test_863,clear primary
test_864,clear primary
test_865,cloudy
test_866,partly_cloudy primary
test_867,cloudy
test_868,clear primary
test_869,clear primary
test_870,clear primary
test_871,partly_cloudy primary
test_872,clear primary
test_873,clear primary
test_874,clear primary
test_875,partly_cloudy primary
test_876,clear primary
test_877,agriculture partly_cloudy primary road
test_878,partly_cloudy primary
test_879,clear agriculture primary
test_880,clear primary
test_881,clear agriculture primary
test_882,clear primary
test_883,water primary haze
test_884,clear primary
test_885,clear primary
test_886,water primary haze
test_887,clear agriculture habitation primary road
test_888,water clear primary
test_889,primary haze
test_890,clear primary
test_891,clear agriculture primary
test_892,clear primary
test_893,agriculture partly_cloudy primary road
test_894,water clear primary
test_895,clear agriculture primary road
test_896,clear primary
test_897,cloudy
test_898,cloudy
test_899,clear agriculture primary road
test_900,clear agriculture primary road
test_901,clear primary
test_902,water primary haze
test_903,agriculture partly_cloudy primary
test_904,agriculture primary
test_905,clear primary
test_906,clear agriculture primary road
test_907,clear primary
test_908,clear primary
test_909,clear primary
test_910,cloudy
test_911,clear primary
test_912,clear cultivation agriculture primary
test_913,clear agriculture primary road
test_914,agriculture primary
test_915,clear primary
test_916,clear primary
test_917,primary haze
test_918,clear primary
test_919,primary haze
test_920,clear primary
test_921,cloudy
test_922,cloudy
test_923,clear agriculture primary
test_924,primary
test_925,cloudy
test_926,clear agriculture habitation primary road
test_927,clear primary
test_928,water clear primary
test_929,partly_cloudy primary
test_930,clear agriculture primary
test_931,clear primary
test_932,clear primary
test_933,clear primary
test_934,partly_cloudy primary
test_935,water clear primary
test_936,clear agriculture primary
test_937,cloudy
test_938,clear agriculture primary
test_939,water clear primary road
test_940,clear primary
test_941,clear agriculture primary
test_942,clear agriculture primary
test_943,partly_cloudy primary
test_944,agriculture primary
test_945,clear primary
test_946,clear primary
test_947,primary
test_948,water clear primary
test_949,clear cultivation primary
test_950,partly_cloudy primary
test_951,clear agriculture primary
test_952,clear agriculture primary road
test_953,clear agriculture habitation primary road
test_954,partly_cloudy primary
test_955,clear agriculture primary
test_956,partly_cloudy primary
test_957,water agriculture partly_cloudy primary
test_958,water primary haze
test_959,cloudy
test_960,partly_cloudy primary
test_961,agriculture partly_cloudy primary
test_962,clear primary
test_963,clear agriculture primary road
test_964,clear primary
test_965,clear primary
test_966,clear agriculture primary
test_967,clear primary
test_968,clear agriculture primary
test_969,clear primary
test_970,clear primary
test_971,clear primary
test_972,clear primary
test_973,clear agriculture primary
test_974,clear primary
test_975,clear primary
test_976,clear cultivation agriculture primary
test_977,clear agriculture primary road
test_978,clear primary
test_979,partly_cloudy primary
test_980,clear agriculture habitation primary road
test_981,clear primary
test_982,water clear primary
test_983,clear primary
test_984,clear agriculture habitation primary road
test_985,agriculture primary
test_986,clear primary
test_987,clear primary
test_988,clear primary
test_989,clear primary
test_990,primary haze
test_991,clear primary
test_992,clear primary
test_993,clear agriculture habitation primary road
test_994,water clear primary
test_995,water clear cultivation agriculture primary
test_996,clear primary
test_997,clear primary
test_998,primary haze
test_999,clear primary
test_1000,clear agriculture primary
test_1001,clear primary
test_1002,clear primary
test_1003,water artisinal_mine clear primary
test_1004,clear primary
test_1005,clear primary
test_1006,partly_cloudy primary
test_1007,clear primary
test_1008,partly_cloudy primary
test_1009,clear agriculture primary
test_1010,cloudy
test_1011,clear primary
test_1012,clear primary
test_1013,partly_cloudy primary
test_1014,clear primary
test_1015,clear agriculture primary
test_1016,clear agriculture habitation primary road
test_1017,water agriculture primary
test_1018,water clear primary road
test_1019,water agriculture partly_cloudy primary road
test_1020,clear agriculture primary
test_1021,partly_cloudy primary
test_1022,cloudy
test_1023,water primary
test_1024,clear primary
test_1025,partly_cloudy primary
test_1026,partly_cloudy primary
test_1027,clear agriculture primary
test_1028,agriculture partly_cloudy primary
test_1029,agriculture primary
test_1030,clear agriculture primary
test_1031,clear primary
test_1032,primary haze
test_1033,agriculture partly_cloudy primary
test_1034,clear primary
test_1035,clear primary
test_1036,clear primary
test_1037,clear primary
test_1038,clear primary
test_1039,cloudy
test_1040,clear primary
test_1041,partly_cloudy primary
test_1042,water clear primary
test_1043,
test_1044,agriculture partly_cloudy primary
test_1045,clear primary
test_1046,clear agriculture primary
test_1047,clear agriculture primary
test_1048,clear primary
test_1049,clear primary
test_1050,clear primary
test_1051,clear primary
test_1052,clear primary
test_1053,primary
test_1054,partly_cloudy primary
test_1055,clear primary road
test_1056,primary haze
test_1057,clear agriculture habitation primary road
test_1058,clear agriculture primary
test_1059,clear agriculture primary
test_1060,clear primary
test_1061,clear primary
test_1062,clear primary
test_1063,clear primary
test_1064,clear primary
test_1065,clear primary
test_1066,clear agriculture habitation primary road
test_1067,clear primary
test_1068,cloudy
test_1069,clear agriculture primary
test_1070,clear agriculture primary
test_1071,clear agriculture habitation primary road
test_1072,clear primary
test_1073,clear agriculture primary road
test_1074,clear primary
test_1075,partly_cloudy primary
test_1076,clear primary
test_1077,clear primary
test_1078,clear primary
test_1079,clear primary
test_1080,clear primary
test_1081,clear primary
test_1082,cloudy primary
test_1083,clear agriculture habitation primary road
test_1084,clear primary
test_1085,clear primary
test_1086,clear agriculture primary road
test_1087,water clear agriculture primary
test_1088,clear primary
test_1089,clear habitation primary road
test_1090,water clear primary road
test_1091,clear primary
test_1092,clear agriculture primary road
test_1093,clear primary
test_1094,clear agriculture habitation primary road
test_1095,clear primary
test_1096,partly_cloudy primary
test_1097,agriculture partly_cloudy primary
test_1098,primary haze
test_1099,clear primary
test_1100,agriculture primary
test_1101,clear agriculture primary
test_1102,clear primary
test_1103,clear agriculture primary
test_1104,clear agriculture primary
test_1105,clear primary
test_1106,partly_cloudy primary
test_1107,clear agriculture habitation primary road
test_1108,partly_cloudy primary
test_1109,cloudy primary
test_1110,clear primary
test_1111,clear primary
test_1112,clear agriculture primary
test_1113,clear primary
test_1114,cloudy
test_1115,clear primary
test_1116,agriculture primary
test_1117,partly_cloudy primary
test_1118,cloudy
test_1119,clear agriculture primary road
test_1120,clear primary
test_1121,clear primary
test_1122,clear cultivation agriculture primary
test_1123,clear cultivation primary
test_1124,clear primary
test_1125,clear primary
test_1126,partly_cloudy primary
test_1127,clear agriculture primary road
test_1128,clear agriculture primary
test_1129,partly_cloudy primary
test_1130,clear primary
test_1131,cloudy
test_1132,cloudy
test_1133,clear primary
test_1134,clear agriculture primary road
test_1135,clear primary
test_1136,clear primary
test_1137,clear primary
test_1138,clear primary
test_1139,cloudy
test_1140,partly_cloudy primary
test_1141,partly_cloudy primary
test_1142,primary haze
test_1143,clear primary
test_1144,clear cultivation agriculture primary
test_1145,clear primary
test_1146,clear cultivation agriculture primary
test_1147,primary haze
test_1148,clear primary
test_1149,primary
test_1150,clear primary
test_1151,clear primary
test_1152,clear primary
test_1153,clear primary
test_1154,clear primary
test_1155,water clear primary
test_1156,primary haze
test_1157,partly_cloudy primary
test_1158,clear agriculture primary road
test_1159,partly_cloudy primary
test_1160,clear agriculture primary
test_1161,primary
test_1162,primary haze
test_1163,clear agriculture primary road
test_1164,clear agriculture primary
test_1165,agriculture primary
test_1166,clear primary
test_1167,clear primary
test_1168,clear agriculture primary
test_1169,partly_cloudy primary
test_1170,clear primary
test_1171,clear cultivation agriculture primary
test_1172,clear primary
test_1173,clear agriculture primary road
test_1174,clear habitation road
test_1175,partly_cloudy primary
test_1176,clear agriculture primary
test_1177,cloudy
test_1178,clear primary
test_1179,clear primary
test_1180,clear agriculture primary
test_1181,clear primary
test_1182,clear primary
test_1183,primary
test_1184,clear primary
test_1185,clear agriculture primary road
test_1186,cloudy
test_1187,clear primary
test_1188,clear agriculture primary
test_1189,clear primary
test_1190,cloudy
test_1191,clear agriculture primary road
test_1192,clear primary
test_1193,clear primary
test_1194,clear primary
test_1195,clear agriculture primary
test_1196,clear agriculture habitation primary road
test_1197,clear agriculture primary
test_1198,clear primary
test_1199,clear primary
test_1200,clear agriculture habitation primary road
test_1201,clear primary
test_1202,clear primary
test_1203,clear primary
test_1204,clear agriculture primary road
test_1205,clear primary
test_1206,cloudy
test_1207,clear primary
test_1208,partly_cloudy primary
test_1209,clear cultivation agriculture habitation primary road
test_1210,clear agriculture habitation primary
test_1211,clear agriculture primary road
test_1212,clear primary
test_1213,clear primary
test_1214,clear agriculture primary road
test_1215,agriculture primary
test_1216,clear primary
test_1217,partly_cloudy primary
test_1218,clear agriculture primary road
test_1219,partly_cloudy primary
test_1220,clear primary
test_1221,clear cultivation agriculture habitation primary
test_1222,agriculture primary road
